sku,marketplace_item_name_ar,marketplace_item_name_en,seller_item_name
346,اماريل ام 2/500مجم 30 قرص,AMARYL M 2 MG/500 30 TAB,اماريل ام 500/2مج 30ق س ج/سانوفي افنتس
3711,سيكودال 2 مجم 30 قرص,PSYCHODAL 2 MG 30 TAB,سيكودال 2مجم *3شريط السعر الجديد
94,فوار فروت 6 كيس,FAWAR FRUIT 6 SACHET,فوارفواكة جديد
2341,اكس تينشن 300 مجم 28 قرص,X-TENSION 300 MG 28 TAB,اكستنشن 300مجم اقراص102ج
4093,الزميندا 20 مجم 21 قرص,ALZMENDA 20 MG 21 TAB,الزاميندا 20 مجم اقراص س.ج
2793,دولسيل 3 مجم 30 قرص,DOLCYL 3 MG 30 TAB,دولسيل 3 جم 3 شريط س.ج
733,تيبونينا فورت 40 مجم 20 قرص,TEBONINA FORT 40 MG 20 TAB,تيبونينا فورت 20قرص جديد
53,زيثرون 500 مجم 5 قرص,XITHRONE 500 MG 5 TAB,زيثرون 5 قرص
454,ناتريليكس اس آر 1.5 مجم 30 قرص,NATRILIX C. S.R. 1.50 MG 30 TAB,ناتريليكس اس ار جديد سعر 41
369,دوفالاك شراب 200 مل,DUPHALAC SYRUP 200 ML,دوفالاك شراب / سعر جديد
670,سويتال 2 جم 50 كيس,SWEETAL 50 SACHETS,سويتال اكياس50كيس/هيجنت
2152,ايبانتين 100 مجم 50 كبسول,IPANTEN 100 MG 50 CAP,ايبانتين 100 ملى
137,ماكسيلاز شراب 100 مل,MAXILASE SYRUP 100 ML,ماكسيلاز شراب(س ج
36,كونفنتين 300 مجم 30 كبسولة,CONVENTIN 300 MG 30 CAP,كونفنتين 300 مجم 30قرص س ج
924,دانتريلاكس مركب 30 كبسولة,DANTRELAX COMPOUND 30 CAP,دانتريلاكس كومباوند 30كبسول س ج ج
449,اكساميد 10 مجم 30 قرص,EXAMIDE 10 MG 30 TAB,اكسامايد10مجم اقراص
1479,تريتاس 1.25 مجم 14 قرص,TRITACE 1.25 MG 14 TAB,تريتاس 1.25 شريطان
2132,كولوماك محلول موضعى 10 مل,COLLOMAK SOUTION 10 ML,كوللوماك محلول اكتوبر
500,نورفاسك 5 مجم 30 قرص,NORVASC 5 MG 30 TAB,نورفاسك 5 مجم 30قرص
2876,مونوماك 40 مجم 20 قرص,MONO MACK 40 MG 20 TAB,مونوماك 40مجم -اكتوبر
2856,ديلاترول 6.25 مجم 30 قرص,DILATROL 6.25 MG 30 TAB,ديلاترول6.25مجم3شريطططط
2128,بيوتين فورت 5 مجم 60 كبسولة,BIOTIN FORTE 5 MG 60 CAP,بيوتين فورت5مجم 6شريط
3198,ديبافالي 50 مجم 28 قرص,DIBAVALLY 50 MG 28 TAB,ديبافالى اقراص 83 ج عادى
1795,اوكيوجارد 30 كبسول,OCUGUARD 30 CAP,اوكيوجارد كبسول 3 شريط
460,ايميرست 4 مجم / 2 مل 5 امبول,EMEREST 4 MG/2 ML 5 AMP.,اميريست 4مجم امبول
821,تارجوفلوكسين 750 مجم 10قرص,TARGOFLOXIN 750 MG 10 TAB,تارجوفلوكسين 750 مجم 10قرص س ج
2876,مونوماك 40 مجم 20 قرص,MONO MACK 40 MG 20 TAB,مونوماك 40 ملجم/التنشيط
900,زيرتك 10مجم/مل نقط بالفم 10 مل,ZYRTEC 10 MG/ML ORAL DROPS 10 ML,زيرتك 10مم نقط جديييييد
5,بلافيكس 75 مجم 28 قرص,PLAVIX 75 MG 28 TAB,بلافيكس/236 ج***
557,زيرتيك 0.1% شراب 100 مل,ZYRTEC 0.1%SYRUP 100 ML,زيرتك شراب 32.5 ج
1764,لى-فلوكس 750 مجم 7 قرص,LEE-FLOX 750 MG 7 TAB,لى فلوكس750مجم اقراص/الفرعونية س.ج
1579,اريكتاليس 20 مجم 2 قرص,ERECTALIS 20 MG 2 TAB,اريكتاليس20مجم2قرص
320,ميوكوستا 100 مجم 20 قرص,MUCOSTA 100 MG 20 TAB,ميوكوستا 100مجم 20 قرص
372,بيتاسيرك 16 مجم 60 قرص,BETASERC 16 MG 60 TAB,بيتاسيرك16 اقراص
106,سبازمو ديجستين 30 قرص,SPASMODIGESTIN 30 TAB,سبازمو دايجستين30قرص 52.5ج
503,اماريل 2 مجم 30 قرص,AMARYL 2 MG 30 TAB,اماريل 2 مجم سعر قدييييم جدا
3373,الكابريس بلس 10/160مجم 14 قرص,ALKAPRESS PLUS 10MG/160 MG 20 TAB,الكابرس 160/10 بلس *صنف ج
487,بليجيكا 1 % قطرة عين 10 مل,PLEGICA 1% EYE DROPS 10 ML,بليجكا نقط
1808,كلوباترا 0.05 % كريم 25 جم,CLOBUTRA 0.05%CREAM 25 GM,كلوبترا كريم 25 جم
4957,توبمود 50 مجم 30 كبسولة,TOPMODE 50 MG 30 CAP,توب مود50مجم اقراص
2359,ابيمول 300 مجم 5 اقماع,ABIMOL 300 MG 5 RECTAL SUPP.,ابيمول لبوس 6.5ج
2296,اكس تينشن 150 مجم 28 قرص,X-TENSION 150 MG 28 TAB,اكستنشن 150 مجم اقراص 23/12
950,لازيلاكتون 20/50 مجم 30 قرص,LASILACTONE 50 MG 30 TAB,لازيلاكتون 50مجم 30قرص س ج
1356,الكابرايد 50 مجم 30 قرص,ALKAPRIDE SCORED 50 MG 30 TAB,الكابريد اقراص 61.5ج
279,انافرونيل 75 مجم اس ار 20 قرص,ANAFRONIL 75 MG 20 TAB,انافرانيل 75مج سعر جديد
941,اوركاديكسولين قطرة عين 5 مل,ORCHADEXOLINE EYE DROPS 5 ML,اوركاديكسولين قطرة سعر جديد
456,نانازوكسيد 500 مجم 18 قرص,NANAZOXID 500 MG 18 TAB,نانازوكسيد 30 اقراص جديد
481,جليبتس بلس 50/850 مجم 30 قرص,GLIPTUS PLUS 50/850 MG 30 TAB,جليبتس 50/850 سعر جديد
2628,اوميز 10 مجم 14 كبسول,OMEZ 10 MG 14 CAP,اوميز10مم ك
5877,ديسبركام 10 مجم 20 قرص قابل للذوبان,DISPERCAM 10 MG 20 ORO-DISPERSIBLE TAB,ديسبركام 10 مجم
1326,تورسيريتك 100مجم 30 قرص,TORSERETIC 100 MG 30 TAB,TORSERETIC 100 MG 30 TAB
1079,دابوكستارد 60 مجم 3 قرص,DAPOXTARD 60 MG 3 TAB,دابوكستارد 3 اقراص
668,زيثروماكس 600مجم/ 15مل شراب معلق,ZITHROMAX 600 MG/15ML SUSP. 15 ML,زيثروماكس شراب 600ملل/فايزر
3198,ديبافالي 50 مجم 28 قرص,DIBAVALLY 50 MG 28 TAB,ديبافالى 50 مجم عادى اقراص
436,كوبال اف 500/200 مكجم 30 قرص,COBAL F 30 TAB,كوبال اف اقراص54ج
250,اوكاربون 30 قرص,EUCARBON 30 TAB,EUCARBON TABS 30
1337,اكوا بلس شراب 100 مل,AQUA PLUS SYRUP 100 ML,اكوابلس شراب (ب 30 )س.ج
1538,انتوبرال 20 مجم 14 قرص,ANTOPRAL 20 MG 14 TAB,انتوبرال 14/20 س ج
1701,داونوبرازول 20/1100 مجم 14 كبسول,DOWNOPRAZOL 20MG/110 MG 14 CAP,داونوبرازول20مجممجم
457,ايراستابكس بلس 40/12.5 مجم 30 قرص,ERASTAPEX PLUS 40 MG/12.5 TAB,ايراستابكس بلس 40/12.5 جدييد
90,ديكساميثازون-المهن 8 مجم / 2 مل 5 امبول,DEXAMETHASONE-MUP 8 MG/2 ML 5 AMP.,ديكساميثازون 8 مجم (مهن) 5 امبول
2350,اتورستات 20 مجم 14 قرص,ATORSTAT 20 MG 14 TAB,اتورستات 20 مجم اقراص/الدلتا
1603,سبانيلا ام آر 35 مجم 30 قرص,SPANIELA MR 35 MG 30 TAB,سبانيلا 30قرص ماركيرل
1323,موبيتيل 15 مجم 10 قرص,MOBITIL 15 MG 10 TAB,موبيتل 15 مجم اقراص/المهن
179,سيلدافا 100 مجم 12 قرص,SILDAVA 100 MG 12 TAB,سيلدافا100 مجم3شريط
1329,افيكسور اكس آر 75 مجم 14 كبسول,EFEXOR XR 75 MG 14 CAP,ايفكسور 75 مجم
1143,فاروفيجا 100 مجم 12 قرص,FAROVIGA 100 MG 12 TAB,فاروفيجا 3شريط اقراص
366,ارث فرى 20 مجم 30 قرص,ARTHFREE 20 MG 30 TAB,ارثفرى اقراص س.ق
4244,املوديبين 10 مجم 20 قرص,AMLODIPINE 10 MG 20 TAB,املودييين10
3373,الكابريس بلس 10/160مجم 14 قرص,ALKAPRESS PLUS 10MG/160 MG 20 TAB,الكابرس 160-10 بلس اقراص*32
1517,جليكودال 30 قرص مضغ,GLYCODAL 30 CHEWABLE TAB,جليكودال قرص
3009,فابوزول محلول استشاق 30 مل,VAPOZOL INHALAR SOLUTION 30 ML,فابوزول استنشاق س ج
2696,اتورستات 40 مجم 14 قرص,ATORSTAT 40 MG 14 TAB,اتورستات 40ق
10,بانادول اكسترا 24 قرص,PANADOL EXTRA 24 TAB,بانادول اكسترا اقراص24 قرص احذر
202,جابتن 300 مجم 30 كبسولة,GAPTIN 300 MG 30 CAP,جابتين 300 3 *شريط
84,اوميز 20 مجم 14 كبسول,OMEZ 20 MG 14 CAP,اوميز 20مجم كبسول س ج ج
1889,لاكريتيرز قطرة عين 15 مل,LACRITEARS 0.5% EYE DROPS 15 ML,لاكريتيرز قطرة
668,زيثروماكس 600مجم/ 15مل شراب معلق,ZITHROMAX 600 MG/15ML SUSP. 15 ML,زيثروماكس 600 مل شراب سعر جديد
146,اليكويس 5 مجم 20 قرص,ELIQUIS 5 MG 20 TAB,اليكويس 5 مجم اقرص جديد
2346,ادابالين 0.1% جيل 30 جم,ADAPALENE 0.1%GEL 30 GM,ادابالين جيل/سعر جديد
26,اريك 100 مجم 12 قرص,EREC 100 MG 12 TAB,اريك 100 مجم 3 شريط س.ج
2529,كاردورا 1 مجم 21 قرص,CARDURA 1 MG 21 TAB,كاردورا 1 - اقراص
1631,افيميو قطرة عين 10 مل,EFEMYO EYE DROP 10 ML,افيميوقطره 44ج
421,نيورونتين 300 مجم 20 كبسول,NEURONTIN 300 MG 20 CAP,نيورونتين اقراص
1206,سبيكتون 100 مجم 20 قرص,SPECTONE 100 MG 20 TAB,سبكتون 100مجم 20قرص
1436,ديباكين 200 مجم / مل محلول بالفم 40 مل,DEPAKINE 200 MG/ML ORAL SOLUTION 40 ML,ديباكين نقط س - ج *
2375,ماريفان 3 مجم 100 قرص,MAREVAN 3 MG 100 TAB,ماريفان 3 مجم سعر جديد
1448,اكساميد 5 مجم 30 قرص,EXAMIDE 5 MG 30 TAB,اكساميد 5 مجم 30قرص
1808,كلوباترا 0.05 % كريم 25 جم,CLOBUTRA 0.05%CREAM 25 GM,كلوباترا كريم سعر13
874,اتاكاند 8 مجم 14 قرص,ATACAND 8 MG 14 TAB,اتاكاند 8مجم 14قرص س ق
1446,روسيتور 10 مجم 14 قرص,ROSITOR 10 MG 14 TAB,روسيتور 10مجم 14قرص س ج *
9,فيلداجلوز بلس 50 / 1000 مجم 30 قرص,VILDAGLUSE PLUS 50/1000 MG 30 TAB,فيلداجلوز بلس 1000
2629,دوكسيرازول 30 مجم 14 كبسول,DOXIRAZOL 30 MG 14 CAP,دوكسيرازول30مجم %20
105,فياجرا 100 مجم 4 اقراص,VIAGRA 100 MG 4 TAB,فياجرا 100 فايزر ( ب 30 ) * س.ج
2570,سيلوكينزوك 200 مجم 28 قرص ممتد المفعول,SELOKENZOC S.R 200 MG 28 TAB,سيلوكينزوك200 س ج
645,جابتن 100 مجم 30 كبسولة,GAPTIN 100 MG 30 CAP,جابتن 100 مل اقراص
117,بيتولفكس 1مجم/مل 2 امبول عضل,BETOLVEX 1 MG/ML 2 AMP,بيتولفكس/2امبولة
526,امريزول 500 مجم 20 قرص,AMRIZOLE TABS 500 MG 20,امريزول 500 اقراص8015139/العامريه س0ج
941,اوركاديكسولين قطرة عين 5 مل,ORCHADEXOLINE EYE DROPS 5 ML,اوركاديكسولين 5مل قطرة(ثلاجة)
505,دولفين 25 مجم 10 أقماع,DOLPHIN 25 MG 10 SUPP.,دولفين 25مجم اقماع
2296,اكس تينشن 150 مجم 28 قرص,X-TENSION 150 MG 28 TAB,اكستنشن 150مجم اقراص 3ش س ج
2004,دولوكسبرين 60 مجم 28 كبسولة,DULOXEPRIN 60 MG 28 CAP,دولوكسيبرين60 مجم 28 قرص
176,سليبريكس 200 مجم 15 كبسولة,CELEBREX 200 MG 15 CAP,سيليبريكس200مجم15كبسولة س ج
1651,كال - بريج 30 قرص,CAL-PREG 500 MG 30 TAB,كال بريج 30 كبسوله س 022
3752,فاستل 180 مجم 20 قرص,FASTEL 180 MG 20 TAB,فاستل 180مجم اقراص 2 شرييط
936,اتوريزا 10/40 مجم 28 قرص,ATOREZA 10 MG/40 28 TAB,اتوريزا40/10مجم اقراص جديد
34,اوميجا-3 بلس 30 كبسولة,OMEGA-3 PLUS 30 CAP,اوميجا 3 بلاس س.ج
48,امبيزيم-جى 30 قرص,AMBEZIM-G 30 TAB,امبيزيم كبير 3 شريط 54س.ج
1619,اسبريكارلو 81 مجم 30 قرص للمضغ,ASPRICARLO 81 MG 30 CHEWABLE TAB,اسبريكارلو 81مجم 30قرص س ج*
1414,ريفارست بلس غسول 250 مل,REVAREST VAGINAL DOUCHE 250 ML,ريفارست تشطيف 250 مجم س ج
1179,دلتارينو بخاخ بالأنف 15 مل,DELTARHINO NASAL SPRAY 15 ML,دلتارينو بخاخ سعر 12
1701,داونوبرازول 20/1100 مجم 14 كبسول,DOWNOPRAZOL 20MG/110 MG 14 CAP,داونيبرازول 20ملي 14 كبسول
4582,تكلو 30 قرص,TEKLO 130 MG 30 TAB,تكلو اقراص3شريط
1575,هيلسيك 40 مجم 14 كبسولة,HEALSEC 40 MG 14 CAP,هيلسيك40مم ق
1312,موزابرايد 5 مجم 30 قرص,MOSAPRIDE 5 MG 30 TAB,موزابريد 5مجم 30قرص
624,اميجران ادكو 30 قرص,AMIGRAINE 30 TAB,اميجران30قرص
990,تورسيريتك 20 مجم 30 قرص,TORSERETIC 20 MG 30 TAB,تورسيرتيك 20 مجم 30قرص
1517,جليكودال 30 قرص مضغ,GLYCODAL 30 CHEWABLE TAB,جليكودال اقراص س0ج
1955,دايجيست ايزى 20 كبسول,DIGEST EZE 20 CAP,دايجست ايزى كبسول س ج
2068,سلفستر 1 20 كبسول,SYLVESTRE-1 20 CAP,سيلفيستر كبسول باكو 32
333,نيتروماك ريتارد 2.5 مجم 60 كبسولة,NITROMAK RETARD 2.5MG 60 CAP,نيتروماك ريتارد2.5مجم اقراص
112,بانتولوك 40 مجم 14 قرص,PANTOLOC 40 MG 14 TAB,بانتولوك 40مجم 14قرص 68.5 ج
3689,اتورستات 10 مجم 14 قرص,ATORSTAT 10 MG 14 TAB,اتورستات 10مجم اقراص س.ج
460,ايميرست 4 مجم / 2 مل 5 امبول,EMEREST 4 MG/2 ML 5 AMP.,اميرست 4 مجم 5 امبول 86ج
814,فليكس 50 مكجم/جرعة بخاخ للانف 16 جم,FLIX 50 MCG/METERED NASAL SPRAY 20 ML,فليكس16جم اسبراى
420,جولد بلس غسول مهبلي 250 مل,GOLD PLUS VAGINAL DOUCHE 250 ML,جولد دش غسول/س ج
1651,كال - بريج 30 قرص,CAL-PREG 500 MG 30 TAB,كال برج عادي اقراص
219,دالاسين سي 300 مجم 10 كبسول,DALACIN C 300 MG 10 CAP,دالاسين سي 300ملل ك
2296,اكس تينشن 150 مجم 28 قرص,X-TENSION 150 MG 28 TAB,اكستنشن 150 اقراص س ج ج ج
1064,ثيوتاسيد مركب 300مجم 30 كبسول,THIOTACID COMPOUND 300 MG 30 CAP,ثيوتاسيد 300 مركب 30 قرص | س.ج
1484,موبيتيل 15 مجم / 1.5 مل 3 امبول,MOBITIL 15 MG/1.5 ML 3 AMP.,موبيتيل امبول سعرررر قددديم
1979,كوليروز 5 مجم 14 قرص,CHOLEROSE 5 MG 14 TAB,كوليروز5مجم/س ج
836,تراى ليرج قطرة 10 مل,TRILLERG EYE DROPS 10 ML,تراى ليرج قطره *جدييد
2068,سلفستر 1 20 كبسول,SYLVESTRE-1 20 CAP,سلفستر وان اقراص/س ج
4582,تكلو 30 قرص,TEKLO 130 MG 30 TAB,"تكلو اقراص ""س.ج"
1764,لى-فلوكس 750 مجم 7 قرص,LEE-FLOX 750 MG 7 TAB,لى فلوكس* 750مجم ق
22,ديبوفيت بي12 - 1000 مكجم / مل 5 امبول,DEPOVIT B12 1000 MCG/ML I.M 5 AMP.,ديبوفيت ب12- 5 امبول جديد
1079,دابوكستارد 60 مجم 3 قرص,DAPOXTARD 60 MG 3 TAB,دابوكستارد ق
3183,الوكيتا دى اس شامبو 250 مل,ALOEKITA DS DA SHAMPOO 250 ML,الوكيتا دى اس شامبو س جديد
550,اكتينون 2 مجم 20 قرص,ACHTENON 2 MG 20 TAB,اكتينون اقراص العربيه
4115,كروميوم - ميباكو 20 كبسول,CHROMIUM 20 CAP,كروميوم كبسول سعر جديد
1969,ديبرام 20 مجم 20 قرص,DEPRAM 20 MG 20 TAB,ديبرام20مجم جديد
319,اتور 20 مجم 10 قرص,ATOR 20 MG 10 TAB,اتور 20 اقراص
860,باوريكتا 10 مجم 6 قرص أستحلاب,POWERECTA 10 MG 6 ORO-DISPERSIBLE TAB,باوريكتا نعناع استحلاب جديد
550,اكتينون 2 مجم 20 قرص,ACHTENON 2 MG 20 TAB,اكتينون اقراص 30 قرص
1305,لوفير 400 مجم 10 قرص,LOVIR 400 MG 10 TAB,لوفير400اقراص2شريط
479,فيبراميسين 100 مجم 10 كبسولات,VIBRAMYCIN 100 MG 10 CAP,فيبراميسن 100 مجم 10 كبسول
5877,ديسبركام 10 مجم 20 قرص قابل للذوبان,DISPERCAM 10 MG 20 ORO-DISPERSIBLE TAB,ديسبركام 10مجم اقراص
111,ديمرا 20 قرص,DIMRA 20 TAB,ديمرا 20قرص
1328,بلوكاتنس 10/160مجم 28 قرص,BLOKATENS 10 MG/160 28 TAB,بلوكاتينس160/10 اقرص
1603,سبانيلا ام آر 35 مجم 30 قرص,SPANIELA MR 35 MG 30 TAB,سبانيلا اقراص س ج39
2132,كولوماك محلول موضعى 10 مل,COLLOMAK SOUTION 10 ML,كوللوماك محلول س ج
193,تلفاست 180 مجم 20 قرص,TELFAST 180 MG 20 TAB,تلفاست 180جم 2شريط س ج
1028,نورجيسيك 20 قرص,NORGESIC 20 TAB,نورجيسك اقراص س ق
164,اوتريفين 0.1 % نقط انف للكبار 15 مل,OTRIVIN ADULT NASAL DROPS 15 ML,اوتريفين كبار1% نقط انف س ج/جلاكسو
2078,انكونت ال ايه 4 مجم 30 قرص,INCONT L.A 4 MG 30 TAB,انكونت ط.م30قرص
234,ستاركوبريكس 5 مجم 30 قرص,STARKOPREX 5 MG 30 TAB,ستاركوبريكس5مجم 30 قرص
500,نورفاسك 5 مجم 30 قرص,NORVASC 5 MG 30 TAB,نورفاسك 5م 3شريط
360,ترنتال اس آر 400 مجم 20 قرص,TRENTAL SR 400 MG 20 TAB,ترنتال اس ار ق افينتيس
294,دلتافيت ب12 - 1 مجم 30 قرص تحت اللسان,DELTAVIT B12 1000 MCG 30 SUBLINGUAL TAB,دلتافيت ب12قرص جديد
252,اماريل 3 مجم 30 قرص,AMARYL 3 MG 30 TAB,اماريل 3مجم=3شريط
2346,ادابالين 0.1% جيل 30 جم,ADAPALENE 0.1%GEL 30 GM,ادابالين30مج جيل برج س.ج
346,اماريل ام 2/500مجم 30 قرص,AMARYL M 2 MG/500 30 TAB,اماريل ام سعر جديد 73.5ج
268,سيمباتكس 30 مجم 30 كبسول,CYMBATEX 30 MG 30 CAP,سيمباتكس 30 مجم اقراص228ج
106,سبازمو ديجستين 30 قرص,SPASMODIGESTIN 30 TAB,سبازموديجستين 30 قرص جديد
5877,ديسبركام 10 مجم 20 قرص قابل للذوبان,DISPERCAM 10 MG 20 ORO-DISPERSIBLE TAB,ديسبركام-اقرااااص
444,ليبراكس 30 قرص,LIBRAX 30 TAB,ليبراكس 30 قرص س جديد
454,ناتريليكس اس آر 1.5 مجم 30 قرص,NATRILIX C. S.R. 1.50 MG 30 TAB,ناتريلكس اس ار 30قرص
3343,بكتيكلور 125مجم/5مل شراب معلق 60 مل,BACTICLOR 125 MG SUSP. 60 ML,بكتيكلور 125 مجم شراب سعر جديد
1705,لاسيكس 24 قرص,LASIX 40 MG 24 TAB,لاسيكس40مجم/24قرص
297,بيسكالدين 300 مجم 15 كبسول,PIASCLEDINE 300 MG 15 CAP,بسكلادين 300مجم 15 كبسولة س.ج
2450,دولسيل 6 مجم 30 قرص,DOLCYL 6 MG 30 TAB,دولسيل 6 مجم
121,كولوفيرين دى 30 قرص,COLOVERIN-D 30 TAB,كولوفرين دى س ج
232,اوكتاترون 30 كبسول,OCTATRON 30 CAP,اوكتاترون 3 شريط23/11
334,جابيماش 300 مجم 30 قرص,GABIMASH 300 MG 30 TAB,جابيماش 300 مجم 30 قرص #
1064,ثيوتاسيد مركب 300مجم 30 كبسول,THIOTACID COMPOUND 300 MG 30 CAP,ثيوتاسيد 300 مركب 3 شريط
2106,الليربان اس.ار 2 مجم 20 قرص,ALLERBAN S.R 2 MG 20 TAB,الليربان اس ار اقراص/ س ج
3009,فابوزول محلول استشاق 30 مل,VAPOZOL INHALAR SOLUTION 30 ML,فابوزول محلول استنشاق س
2078,انكونت ال ايه 4 مجم 30 قرص,INCONT L.A 4 MG 30 TAB,انكونت 4 مجم اقراص*
4384,فاستل 120 مجم 20 قرص,FASTEL 120 MG 20 TAB,فاستل 120مجم 2 شريط اقراص
454,ناتريليكس اس آر 1.5 مجم 30 قرص,NATRILIX C. S.R. 1.50 MG 30 TAB,ناتريلكس اس ار 29ج جديد
1834,فورتيموكس بلس قطرة عين 5 مل,FORTYMOX PLUS EYE DROP 5 ML,فورتيموكس بلس قطرة 5مل26ج
938,بون كير 1 مكجم 30 كبسولة,BONE CARE 1 MCG 30 CAP,بون كير 1 جم اقراص
94,فوار فروت 6 كيس,FAWAR FRUIT 6 SACHET,فوار فروت 6 كيس س ج
670,سويتال 2 جم 50 كيس,SWEETAL 50 SACHETS,سويتال50كيس 2 معلقة*/
15,فيروجلوبين 30 كبسول,FEROGLOBIN 30 CAP,فيروجلوبين كبسول سعر جديد 80ج
3598,بران 60 كبسولة ميباكو,BRAN-MEPACO 60 CAP,بران كبسول ميباكو سعر30
60,ريفاروسبير 10 مجم 20 قرص,RIVAROSPIRE 10 MG 20 TAB,ريفاروسبير 10 مجم 2 ق
446,فليكتور 50 مجم 30 كبسول,FLECTOR 50 MG 30 CAP,فليكتور 50 3شريط سعر جديد
268,سيمباتكس 30 مجم 30 كبسول,CYMBATEX 30 MG 30 CAP,سيمباتيكس 30 مجم 30كبسولة س.ج
3586,ميليتوفكس مت 5/1000 مجم 30 قرص,MELLITOFIX MET 5MG/1000 MG 30 TAB,ميليتوفكس 1000/5
36,كونفنتين 300 مجم 30 كبسولة,CONVENTIN 300 MG 30 CAP,كونفينتين 300مجم 30كبسول س ق
160,برونشيكم اليكسر شراب 100 مل,BRONCHICUM ELIXIR 100 ML,برونشيكم شراب س.ق
3790,فليكسوفان 20 كبسول,FLEXOFAN 250 MG 20 CAP,فلكسوفان 2 شريط
421,نيورونتين 300 مجم 20 كبسول,NEURONTIN 300 MG 20 CAP,نيورونتين 300مجم كبسول80ج
73,تافانيك 500 محم 5 قرص,TAVANIC 500 MG 5 TAB,تافنيك500مجم كبسول 134 ج
2226,ابيكسيدون 1 مجم 20 قرص,APEXIDONE 1 MG 20 TAB,ابيكسيدون 1 مجم 20قرص س.ج
415,بيوفيت 12 ديبو 2 امبول عضل,BIOVIT-12 DEPOT I.M. 2 AMP.,بيوفيت امبول س ج2
377,اتوريزا 10/10 مجم 28 قرص,ATOREZA 10 MG/10 28 TAB,اتوريزا 10/10 مجم 28 قرص س.ج
2041,بروتوفيكس 20 مجم 14 قرص,PROTOFIX 20 MG 14 TAB,بروتوفكس 20م كبسول
1079,دابوكستارد 60 مجم 3 قرص,DAPOXTARD 60 MG 3 TAB,دابوكستارد 60مجم 3قرص س.ج 39
449,اكساميد 10 مجم 30 قرص,EXAMIDE 10 MG 30 TAB,اكساميد 10مجم السعر الجديد
1837,ديابيتونورم 45 مجم 15 قرص,DIABETONORM 45 MG 15 TAB,ديابيتو نورم اقراص
4750,دولسيل 1 مجم 30 قرص,DOLCYL 1 MG 30 TAB,دولسيل 1مجم 30قرص س ج
950,لازيلاكتون 20/50 مجم 30 قرص,LASILACTONE 50 MG 30 TAB,لازيلاكتون 50م ق سعر جديد 48ج
550,اكتينون 2 مجم 20 قرص,ACHTENON 2 MG 20 TAB,اكتينون 30قرص /العربية س ج
87,دوروفين 30 كبسولة,DOROFEN 30 CAP,دوروفين كبسول 50(س.ج)
2441,دوجماتيل فورت 200 مجم 10 قرص,DOGMATIL FORT 200 MG 10 CAP,دوجماتيل فورت ممفيس
573,بروستريد 5 مجم 30 كبسولة,PROSTRIDE 5 MG 30 CAP,بروستريد 30 ك
1905,جاروبرايد 50 مجم 30 قرص,GAROPRIDE 50 MG 30 TAB,جاروبريد 30 قرص س.ج
505,دولفين 25 مجم 10 أقماع,DOLPHIN 25 MG 10 SUPP.,دولفن 25 اقماع شريطين
